1.000000000000000000e+00 8.000000000000000000e+01 6.000000000000000000e+00 2.457389000000000000e+06 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.456956584161741659e+06 1.140384038033829199e+02 1.998424611793550298e-01 -1.035242652436406230e+00 -8.599862115187921763e-01 5.103172699385698508e-01 6.023302376892227805e-01 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.456983321959038265e+06 -6.410322764077574220e+01 1.994391710448596144e-01 4.436889428450346839e-01 4.292741365182031754e-01 9.031742443828605360e-01 -7.004672064180873514e-01 0.000000000000000000e+00 2.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.456983395958671812e+06 -6.417303874408921160e+01 2.009214667048343228e-01 4.428986118511694103e-01 4.285601959270569083e-01 9.035132309307719600e-01 -6.998211467645227835e-01 0.000000000000000000e+00 3.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.457006815801513381e+06 9.759588058293242341e+01 1.984863433431893476e-01 -9.782918347210763921e-01 -8.295446727565155554e-01 5.584403602008772838e-01 5.180084696432097902e-01 0.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.457006889802551828e+06 9.765177986531715248e+01 1.976507420488372024e-01 -9.815030075104625995e-01 -8.313336411883280874e-01 5.557736742852761314e-01 5.198787894582752589e-01 0.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.457140351015723776e+06 1.150310168354630669e+01 1.977802847304919176e-01 -2.736618676235584857e+00 -3.939948427612450232e-01 -9.191126502652119390e-01 -6.527199547282590553e-01 0.000000000000000000e+00 6.000000000000000000e+00 2.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.457140425029851031e+06 1.167493326763729300e+01 2.004057219614232832e-01 -2.738486827148896019e+00 -3.922771151045539861e-01 -9.198470878169091591e-01 -6.516572781698787287e-01 0.000000000000000000e+00 7.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.457170590915602166e+06 -3.681928255724987054e+01 1.992329260266650359e-01 2.037008573205682183e+00 8.932773100544945111e-01 -4.495060036771549306e-01 6.907468154288062268e-01 0.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.457170664930035826e+06 -3.665787639236356910e+01 1.995805798178646173e-01 2.038764280770186232e+00 8.924867326016583391e-01 -4.510736437988990266e-01 6.892815058818554386e-01 0.000000000000000000e+00 9.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.457192667383486871e+06 1.250095757355617732e+00 1.996671716140286656e-01 -2.924151586433572092e+00 -2.157316552726347980e-01 -9.764526885176408877e-01 -4.588554218116656092e-01 0.000000000000000000e+00 1.000000000000000000e+01 3.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.457192843556299806e+06 1.793872607503828931e+00 1.989251316767746414e-01 -2.915940908616008187e+00 -2.237416318619138977e-01 -9.746484915967231766e-01 -4.639537182479970823e-01 0.000000000000000000e+00 1.100000000000000000e+01 7.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
